Rat_ID;Text_Review_Count;Average_Rating;Ratings_Count;BookID
82;4;3.55;55;137
83;0;4.27;9;138
84;1;3.39;22;139
85;3;3.89;17;140
86;4;3.84;166;141
87;5;4.12;50;142
88;2;4.08;13;144
89;1;3.48;64;147
90;1851;4.05;16643;151
91;5696;4.05;109420;152
92;309;4.05;2904;153
93;3;3.85;16;154
94;726;4.05;9564;155
95;72;4.05;474;156
96;48;4.05;303;157
97;65;2.99;411;159
98;33;4.19;1204;160
99;279;3.71;3429;162
100;216;3.95;2163;163
101;31;3.89;613;164
102;40;3.82;308;165
103;0;4.2;10;166
104;4;3.65;16;168
105;0;3.4;10;171
106;0;4.0;17;177
107;23;4.01;1035;180
108;6;4.0;36;181
109;0;3.6;15;182
110;1;4.0;6;201
111;17;4.12;376;204
112;237;4.11;3086;205
113;44;3.94;352;207
114;633;3.6;9852;208
115;78;3.9;821;213
116;72;4.05;731;214
117;178;3.94;2897;216
118;11;3.89;98;230
119;1688;3.42;20888;231
120;19;3.91;66;237
121;6;4.02;81;244
122;52;4.22;981;245
123;141;3.69;3381;247
124;2376;3.68;53206;249
125;459;3.78;14872;250
126;58;4.1;3261;251
127;251;3.98;7805;252
128;142;3.83;2699;253
129;1951;3.78;61640;264
130;41;3.78;392;269
131;44;3.75;778;277
132;65;3.85;963;278
133;128;3.66;2057;280
134;8;3.68;203;285
135;2;4.21;35;288
136;16;4.19;328;289
137;82;3.98;1308;290
138;517;3.92;6432;291
139;217;4.08;3015;292
140;6734;3.83;318753;295
141;42;3.83;420;296
142;276;3.83;5967;297
143;14;3.83;104;298
144;4;3.83;56;299
145;16;4.05;91;302
146;4;4.61;88;313
147;7;4.07;63;324
148;164;4.04;2815;330
149;13;3.6;95;332
150;24;3.44;217;333
151;255;4.02;4136;337
152;649;4.01;17232;348
153;6241;3.92;251872;350
154;193;3.87;10293;354
155;438;3.78;15970;355
156;200;3.97;6898;356
157;1401;4.06;67803;357
158;746;3.93;22091;359
159;49;4.14;2623;362
160;84;3.6;885;367
161;0;3.93;5;377
162;13;4.13;100;382
163;995;3.57;9358;385
164;907;3.78;9318;386
165;15;4.14;120;394
166;76;4.53;5239;397
167;175;3.92;1505;399
168;564;3.99;11857;400
169;55;3.43;393;403
170;72;3.43;1356;404
171;41;3.22;460;406
172;145;3.48;2492;407
173;212;3.64;3100;408
174;587;4.13;5296;409
175;177;3.96;1415;410
176;230;3.69;2161;411
177;213;4.01;762;412
178;602;4.07;8086;413
179;69;3.69;702;414
180;2164;4.01;29764;415
181;34;3.5;334;416
182;220;3.8;2473;418
183;336;3.89;2656;420
184;738;4.17;11889;421
185;255;3.8;2962;422
186;292;3.86;2842;423
187;1825;4.21;26934;424
188;169;3.81;2070;425
189;108;4.5;1564;426
190;1706;3.87;23656;428
191;1873;3.89;43200;431
192;734;3.79;12410;432
193;195;3.64;3672;434
194;164;3.89;2998;435
195;2;3.89;74;444
196;1157;3.84;17977;446
197;503;3.94;16099;447
198;36;3.9;361;453
199;562;3.23;6688;454
200;443;3.96;11744;456
201;120;3.77;2390;463
202;1;4.38;21;466
203;2780;3.93;52522;475
204;26;3.4;213;476
205;86;4.15;719;477
206;512;3.8;4762;478
207;4;3.91;62;481
208;20;4.39;278;484
209;262;4.01;2862;493
210;334;3.78;2829;494
211;5;3.93;105;497
212;2;4.13;102;498
213;12;3.77;478;511
214;49;4.03;1577;515
215;8;3.95;73;523
216;96;3.68;408;524
217;100;4.11;1693;531
218;0;4.14;1;534
219;966;3.81;6485;537
220;73;3.81;367;538
221;43;3.8;1371;539
222;28;3.98;793;565
223;42;3.8;549;570
224;31;3.85;288;576
225;1109;3.81;26381;597
226;3324;3.73;62089;599
227;19;3.51;474;619
228;6446;3.77;166046;629
229;274;4.08;1773;639
230;10;3.72;286;642
231;2;3.85;40;643
232;0;3.93;27;650
233;266;4.11;7300;655
234;6245;4.11;211671;656
235;210;4.13;2403;658
236;14702;3.69;322483;662
237;108;3.68;2750;663
238;229;3.87;1886;664
239;467;3.51;11462;665
240;7277;3.63;110952;667
241;1086;3.91;23199;668
242;153;3.88;3501;669
243;2;3.96;18;670
244;7;3.95;150;672
245;83;3.88;646;675
246;630;4.23;12180;676
247;5;3.62;51;678
248;284;3.09;1601;681
249;672;3.63;8854;685
250;1841;3.55;17155;698
251;3;3.77;44;700
252;11;3.59;234;702
253;2925;3.77;33321;703
254;417;3.59;8703;707
255;179;4.19;6375;759
256;411;3.97;7888;762
257;5;4.07;130;763
258;278;3.98;4508;764
259;47;3.99;397;765
260;377;3.6;5856;766
261;1058;4.07;32569;771
262;6;4.29;37;775
263;0;3.75;1;787
264;0;3.83;11;793
265;0;4.03;0;797
266;0;0.0;0;799
267;237;3.88;6870;815
268;4249;4.25;83184;816
269;0;4.1;5;821
270;565;4.26;19320;822
271;1735;3.93;30872;823
272;137;3.61;2465;824
273;223;3.25;4657;826
274;2767;4.19;71042;827
275;270;3.68;4731;828
276;65;4.2;1567;829
277;6612;4.03;188100;830
278;30;4.16;1474;834
279;72;4.24;1929;835
280;1379;4.17;18602;840
281;149;3.95;3702;841
282;31;4.17;265;842
283;7;4.27;51;848
284;76;3.86;920;864
285;55843;3.86;1631221;865
286;153;4.57;9013;866
287;299;4.56;16666;868
288;161;4.57;11451;869
289;1427;4.5;111091;870
290;294;4.55;10752;871
291;32;3.86;251;872
292;419;4.52;14923;873
293;1726;3.82;26922;880
294;68;3.6;1156;888
295;25554;3.87;1755253;890
296;1592;3.74;20529;900
297;8782;4.02;142121;902
298;1130;3.83;30231;903
299;3703;4.11;280309;929
300;19296;4.11;1301083;930
301;256;4.11;2122;931
302;8;4.08;145;932
303;462;4.11;4189;933
304;158;3.93;1556;935
305;2;3.44;9;941
306;7;3.41;59;944
307;4;4.7;22;955
308;21303;3.89;2418736;960
309;20;3.89;196;965
310;7;3.89;65;966
311;35877;3.84;1679706;968
312;105;3.84;1120;969
313;16;3.84;377;972
314;410;3.71;4919;975
315;183;3.71;3353;977
316;4;3.71;61;980
317;41;4.04;456;987
318;2600;4.03;61760;998
319;2334;4.18;88897;1005
320;9;4.18;48;1007
321;14;3.58;173;1014
322;17;3.95;253;1022
323;948;3.66;12748;1032
324;3400;4.26;76451;1052
325;15;4.26;86;1053
326;637;4.21;9498;1059
327;6243;4.07;166916;1067
328;30;4.22;1299;1068
329;5;3.62;31;1073
330;7656;3.98;200744;1078
331;2;3.93;26;1090
332;4922;3.74;190039;1097
333;77;3.74;811;1099
334;14935;4.07;297533;1103
335;2334;3.78;72361;1110
336;1237;4.51;11208;1111
337;1;3.75;28;1117
338;275;3.74;3877;1120
339;63;3.65;401;1121
340;51;3.95;814;1123
341;16;4.13;228;1130
342;1;4.07;39;1138
343;8;3.15;26;1164
344;623;3.99;11178;1167
345;67;3.67;3379;1169
346;936;4.15;22843;1171
347;1;3.31;13;1177
348;2;4.08;8;1188
349;74;3.96;14103;1191
350;217;3.95;40125;1192
351;55;4.09;8822;1193
352;34;4.09;3697;1196
353;16;4.06;1426;1197
354;15;3.92;275;1198
355;13034;3.97;628745;1202
356;23;3.97;193;1204
357;5;3.97;98;1206
358;25;4.27;189;1218
359;668;3.91;4318;1226
360;26;3.91;177;1230
361;8;3.49;102;1234
362;10821;3.65;206011;1241
363;6;3.56;43;1242
364;24;3.41;201;1243
365;40;4.05;873;1246
366;281;4.14;5354;1252
367;4;3.68;55;1255
368;147;3.72;1820;1265
369;3303;3.55;132062;1274
370;1;3.62;18;1276
371;3;3.55;43;1281
372;13;3.76;82;1290
373;4432;4.05;184418;1295
374;67;4.05;495;1296
375;4155;4.26;85094;1301
376;0;0.0;0;1302
377;3167;4.18;60946;1303
378;1629;4.42;21934;1305
379;175;4.07;16312;1307
380;4;3.58;146;1312
381;198;3.96;3002;1315
382;157;3.9;3422;1317
383;125;3.76;2138;1318
384;4702;4.0;53653;1319
385;2;3.78;14;1320
386;6;3.91;85;1322
387;20;4.1;226;1326
388;6;3.92;29;1327
389;22;3.92;236;1328
390;0;4.47;14;1334
391;4;4.5;26;1337
392;4;4.06;154;1338
393;1;4.35;18;1342
394;7;3.85;28;1351
395;198;3.95;8186;1354
396;597;3.99;34727;1362
397;18;3.99;227;1363
398;0;3.99;2;1364
399;41;3.99;271;1365
400;17;3.99;143;1366
401;5;3.99;40;1367
402;10;3.99;132;1368
403;6;3.99;36;1369
404;3423;3.86;288792;1371
405;137;3.86;1058;1373
406;81;3.86;692;1374
407;380;4.04;54939;1375
408;118;3.86;1919;1376
409;15;3.86;158;1377
410;18;3.86;212;1378
411;6557;3.76;760871;1381
412;179;3.76;1713;1382
413;78;3.76;1131;1383
414;167;3.76;2543;1384
415;24;3.76;262;1387
416;6;4.35;69;1391
417;10;4.22;414;1402
418;7;4.13;67;1403
419;15;3.8;259;1405
420;0;3.94;55;1408
421;25;4.5;578;1417
422;6;4.5;62;1419
423;7139;4.02;609271;1420
424;118;4.44;8159;1423
425;92;3.64;888;1424
426;79;3.31;1204;1425
427;945;3.7;22662;1426
428;2575;3.57;58917;1427
429;2702;3.57;70760;1428
430;68;3.62;1415;1429
431;5452;3.7;132064;1431
432;125;4.02;1658;1433
433;6;3.69;65;1437
434;16;4.02;102;1438
435;57;4.29;489;1439
436;7;4.32;208;1440
437;15;3.72;610;1441
438;0;4.35;38;1444
439;21;3.9;154;1445
440;4;3.9;24;1449
441;0;4.29;35;1459
442;0;4.5;2;1461
443;56;4.03;4483;1462
444;46;4.21;3334;1463
445;8;4.21;560;1465
446;85;4.4;679;1466
447;21;4.17;1464;1467
448;15;4.0;541;1468
449;12;4.31;790;1470
450;120;4.03;9197;1473
451;4;4.23;61;1474
452;9;3.87;201;1475
453;8;4.14;164;1476
454;13;3.88;154;1479
455;0;3.78;9;1480
456;4;3.63;34;1486
457;6;3.86;116;1488
458;2;4.1;158;1489
459;5;4.26;27;1491
460;95;3.83;1950;1494
461;4;4.47;30;1495
462;35;3.87;367;1499
463;1;4.04;23;1504
464;0;4.2;5;1506
465;2;4.03;29;1509
466;3;4.07;25;1510
467;1;4.03;12;1511
468;7;4.43;46;1515
469;53;4.02;712;1516
470;26;4.1;389;1517
471;7;4.02;77;1518
472;591;4.02;28726;1519
473;21;4.02;303;1521
474;62;4.1;4303;1523
475;25;4.02;215;1525
476;3;4.02;12;1526
477;7;4.1;74;1527
478;3;4.03;31;1529
479;8;4.02;63;1530
480;2;4.1;12;1531
481;8;4.02;89;1532
482;0;4.1;1;1533
483;36;4.14;5032;1536
484;46;3.97;553;1537
485;40;4.27;2883;1538
486;726;3.97;45589;1540
487;288;3.97;2979;1542
488;7;3.97;109;1546
489;3;3.97;52;1547
490;9;4.14;135;1548
491;199;3.94;13358;1549
492;1776;3.7;141555;1554
493;1;3.97;8;1555
494;1;3.7;218;1558
495;57;3.7;740;1559
496;79;4.06;6086;1560
497;8;3.94;96;1561
498;33;4.21;1998;1562
499;0;3.83;4;1563
500;0;3.77;1;1566
501;120;3.95;3833;1567
502;1;3.42;23;1568
503;2;3.75;13;1571
504;10;4.07;69;1572
505;27;3.94;391;1576
506;2;4.03;14;1577
507;4;4.21;58;1579
508;0;2.8;5;1584
509;3;4.07;14;1585
510;2;3.85;19;1586
511;13;3.6;262;1590
512;552;3.85;30604;1591
513;1;3.69;42;1592
514;2;4.33;5;1595
515;35537;3.88;1054308;1618
516;357;3.64;4067;1620
517;2513;3.98;138101;1625
518;1751;3.94;24985;1627
519;3838;3.99;105507;1633
520;12;3.46;75;1634
521;30;4.17;240;1642
522;24;4.14;331;1643
523;12;3.76;69;1645
524;77;3.96;1279;1646
525;65;3.76;1098;1654
526;0;2.83;0;1658
527;0;3.5;0;1664
528;60;4.05;453;1667
529;24;3.92;142;1681
530;16;3.92;104;1684
531;21;4.04;271;1685
532;97;4.27;1643;1686
533;67;4.03;2335;1693
534;8;3.92;84;1698
535;30;3.55;259;1702
536;33;3.71;236;1703
537;3;3.94;29;1707
538;266;4.07;2488;1709
539;0;4.07;11;1710
540;64;4.05;710;1713
541;764;4.05;48223;1715
542;8;4.05;30;1718
543;16;4.27;229;1720
544;3;4.32;32;1721
545;8;4.36;78;1722
546;5;4.02;98;1725
547;14;4.12;432;1728
548;4;4.52;61;1729
549;14;4.42;813;1730
550;0;4.08;12;1731
551;1;3.71;7;1744
552;0;4.62;12;1750
553;5;3.64;36;1752
554;14;3.64;264;1761
555;0;4.07;14;1771
556;2;3.86;30;1796
557;16;3.79;122;1800
558;3;4.12;32;1801
559;1;3.4;10;1804
560;0;3.73;10;1805
561;217;3.42;1416;1814
562;166;4.06;2799;1815
563;831;3.95;11990;1823
564;899;3.61;10679;1824
565;404;4.03;4356;1839
566;60;3.87;633;1843
567;18198;3.98;800349;1845
568;1503;3.92;55106;1846
569;4280;4.26;73572;1848
570;944;4.01;20909;1849
571;115;3.78;2456;1850
572;7203;3.86;274649;1852
573;378;4.17;4541;1853
574;2;2.67;9;1856
575;5762;3.63;168362;1869
576;3;4.04;15;1877
577;27;4.04;313;1879
578;2;4.08;51;1883
579;99;4.45;4244;1887
580;253;4.26;2399;1888
581;210;4.26;1821;1889
582;166;4.26;1146;1891
583;171;4.26;1628;1893
584;1022;4.0;7481;1894
585;40;3.71;330;1896
586;11701;4.17;351406;1898
587;136;4.01;1910;1902
588;2800;3.68;87570;1911
589;0;3.68;38;1914
590;1;4.07;43;1925
591;36;3.65;273;1931
592;18458;4.07;1479727;1934
593;131;4.07;1395;1935
594;45;4.07;462;1936
595;9;4.07;166;1937
596;87;4.33;3124;1946
597;9;4.07;83;1947
598;28;3.84;131;1955
599;183;3.84;1343;1957
600;1;4.0;10;1958
601;88;3.84;730;1959
602;9;3.84;39;1960
603;216;4.16;9718;1972
604;61;4.21;1432;1976
605;2;4.3;32;1982
606;146;4.01;1235;1984
607;17;3.99;355;1985
608;501;3.85;4873;1987
609;81;3.82;552;1988
610;394;3.83;13212;1990
611;278;3.71;4532;1991
612;1;4.06;59;1993
613;10;3.84;127;1999
614;139;4.4;11515;2002
615;9;3.58;78;2004
616;78;4.57;1213;2005
617;85;3.66;1625;2010
618;150;3.81;6146;2011
619;76;3.43;1485;2015
620;1;2.67;3;2019
621;1;3.8;3;2022
622;6;3.85;76;2025
623;0;3.75;3;2026
624;4;3.77;56;2028
625;0;5.0;0;2034
626;1;3.86;7;2043
627;48;4.47;1107;2045
628;66;4.5;1324;2046
629;11;4.45;241;2048
630;570;4.08;13233;2049
631;162;4.16;4952;2051
632;4076;4.01;103400;2052
633;1619;4.22;26389;2054
634;130;3.6;983;2056
635;31;3.82;214;2057
636;12;3.97;250;2058
637;2;4.22;10;2059
638;330;3.89;10135;2067
639;235;4.04;13563;2068
640;88;3.83;2324;2071
641;11;3.95;573;2072
642;63;3.82;1555;2074
643;3;3.61;21;2077
644;37;3.92;515;2078
645;92;4.14;4786;2081
646;63;4.17;817;2093
647;828;4.22;24035;2094
648;645;4.15;29607;2095
649;51;4.07;1682;2096
650;22;4.29;1469;2099
651;10;3.94;257;2100
652;30;4.02;674;2102
653;40;4.09;989;2103
654;178;3.83;4774;2104
655;5;4.31;51;2107
656;12;4.13;371;2109
657;39;3.96;429;2112
658;14;3.94;317;2113
659;10063;3.87;271754;2122
660;6;4.24;69;2123
661;2;3.1;31;2126
662;136;4.23;1392;2127
663;446;3.58;4462;2136
664;658;3.91;14769;2137
665;355;3.93;4254;2140
666;502;4.17;13334;2142
667;22;4.39;169;2144
668;31;4.55;300;2151
669;3535;3.08;57720;2152
670;24;4.55;267;2153
671;69;4.16;2278;2155
672;11308;4.14;441462;2156
673;108;3.79;1442;2157
674;77;3.77;393;2166
675;0;2.83;4;2167
676;606;3.66;9373;2176
677;31;3.62;378;2178
678;7;3.83;105;2179
679;150;3.69;3190;2182
680;388;3.83;13499;2183
681;1;3.8;5;2186
682;19548;4.0;540349;2187
683;6118;4.28;133840;2199
684;5325;4.06;282649;2203
685;5;3.5;20;2204
686;28;4.14;275;2205
687;78;4.05;2622;2209
688;0;4.17;57;2211
689;0;3.65;10;2218
690;9;3.64;37;2219
691;124;4.0;4797;2222
692;10;4.16;144;2226
693;7;4.07;197;2227
694;13;3.77;123;2228
695;7;3.62;55;2236
696;233;4.1;2505;2249
697;114;4.24;1874;2250
698;26;3.9;336;2253
699;1622;4.14;39947;2255
700;13;4.15;156;2257
701;1833;3.72;35050;2265
702;26;3.67;360;2267
703;1937;4.12;71764;2279
704;217;4.2;3993;2281
705;699;3.89;5658;2282
706;78;3.58;585;2283
707;68;3.74;623;2285
708;656;3.8;10635;2287
709;133;4.07;563;2289
710;200;3.96;2769;2296
711;154;4.07;1827;2299
712;5;4.02;48;2304
713;182;3.89;2842;2305
714;29;4.3;446;2306
715;9;4.25;55;2307
716;9;4.22;67;2309
717;62;3.95;749;2314
718;9;4.08;41;2315
719;12;3.69;40;2319
720;85;3.93;3986;2322
721;15;3.98;58;2326
722;171;4.15;4689;2327
723;3;4.38;237;2329
724;74;3.98;4685;2330
725;9;4.5;232;2331
726;225;3.85;5526;2333
727;369;4.05;8461;2336
728;161;3.8;2737;2338
729;132;4.01;3920;2343
730;7;4.1;104;2348
731;2;3.68;19;2353
732;482;3.98;3460;2367
733;1191;4.12;23064;2368
734;285;4.06;1852;2370
735;1199;4.11;14739;2371
736;1042;4.2;12178;2372
737;1753;4.19;140014;2373
738;19;3.27;117;2375
739;2;4.19;26;2378
740;17;3.5;67;2386
741;16;3.71;161;2388
742;885;3.5;8858;2389
743;207;3.5;1260;2390
744;7;3.61;50;2400
745;5;3.82;39;2404
746;4;3.93;23;2407
747;0;3.82;6;2409
748;0;3.33;0;2411
749;1;4.28;16;2412
750;159;3.92;2790;2423
751;141;3.96;12534;2430
752;1272;4.22;58408;2442
753;693;3.86;8879;2443
754;6;3.57;38;2445
755;1;3.0;1;2452
756;1;4.03;33;2473
757;30;3.76;259;2486
758;301;3.89;3094;2494
759;36;3.89;372;2495
760;6;3.59;68;2499
761;35;3.89;284;2501
762;33;4.14;875;2504
763;11;3.93;80;2506
764;111;3.42;856;2508
765;113;4.12;1338;2519
766;410;4.34;8228;2520
767;403;4.15;2594;2521
768;7778;4.11;107455;2526
769;107;4.29;799;2527
770;734;3.89;11016;2528
771;242;3.89;3331;2529
772;284;3.92;6184;2530
773;548;3.84;7649;2531
774;30;3.8;308;2535
775;191;4.02;3826;2536
776;106;3.89;1295;2538
777;124;3.8;1744;2539
778;69;3.84;842;2541
779;62;3.81;331;2542
780;306;4.0;2862;2543
781;45;4.42;1432;2545
782;5418;4.23;184293;2547
783;104;4.03;2094;2549
784;39;3.63;488;2551
785;502;3.63;5575;2552
786;105;4.11;2732;2557
787;0;5.0;1;2560
788;90;3.93;1284;2567
789;178;3.85;3832;2581
790;4;4.0;54;2584
791;13;3.89;125;2586
792;59;4.11;942;2595
793;11898;3.97;633037;2612
794;88;3.98;4600;2613
795;752;3.99;32079;2615
796;668;3.77;14228;2619
797;38;3.77;573;2626
798;13;3.8;108;2646
799;898;4.27;10524;2654
800;180;4.27;697;2655
801;34;4.27;271;2661
802;4;4.02;66;2673
803;141;4.05;13562;2677
804;50;3.79;2161;2678
805;0;4.67;3;2680
806;12;3.59;85;2686
807;4;4.28;25;2687
808;3;4.63;27;2688
809;7;4.22;198;2692
810;2365;3.49;168559;2696
811;22;3.49;257;2698
812;59;3.49;792;2701
813;5;3.8;73;2702
814;4;4.02;84;2705
815;6;3.61;70;2706
816;5;3.49;36;2710
817;152;4.18;7760;2711
818;8;3.86;70;2713
819;3012;3.74;50335;2715
820;173;4.2;1178;2718
821;629;3.52;4411;2719
822;105;4.13;856;2722
823;995;3.73;9344;2723
824;194;4.29;9254;2725
825;5;4.51;39;2727
826;2;4.5;17;2731
827;46;3.83;588;2735
828;2513;4.1;52028;2743
829;128;3.83;1397;2745
830;38;3.88;442;2749
831;0;3.0;2;2756
832;635;4.16;6599;2761
833;4711;4.08;167321;2767
834;3;4.08;39;2768
835;0;4.0;22;2770
836;12;4.0;675;2778
837;9;4.0;206;2781
838;12;3.92;81;2785
839;3332;3.69;57011;2794
840;321;4.09;6368;2802
841;112;4.1;717;2804
842;18;3.93;448;2810
843;163;3.76;3976;2811
844;48;4.12;496;2814
845;38;4.25;367;2815
846;4;3.98;235;2817
847;506;4.21;5236;2819
848;23;4.04;388;2820
849;42;4.01;843;2821
850;0;3.98;32;2822
851;301;3.98;10147;2823
852;2;4.0;9;2826
853;58;3.79;3664;2834
854;0;3.79;3;2835
855;152;4.0;1811;2836
856;1;5.0;4;2843
857;294;3.76;2018;2847
858;27;4.27;99;2851
859;99;4.25;1771;2855
860;1;3.46;38;2860
861;127;3.88;1162;2864
862;4;3.94;29;2868
863;1113;3.36;10919;2871
864;1214;3.58;20321;2872
865;1588;3.66;26029;2873
866;1;3.58;6;2875
867;0;3.64;42;2877
868;76;4.42;19945;2879
869;1063;4.22;140403;2880
870;79;4.38;10356;2881
871;84;4.36;8773;2882
872;86;4.36;8948;2883
873;38;4.43;227;2885
874;13;4.39;452;2886
875;11;4.43;400;2887
876;1;3.25;3;2893
877;191;4.02;1124;2895
878;343;4.02;9674;2896
879;3;3.57;24;2898
880;423;3.68;6254;2899
881;104;3.84;2061;2900
882;3;4.22;41;2906
883;4;4.22;54;2907
884;17;3.67;114;2912
885;218;3.93;1177;2917
886;46;4.44;557;2920
887;2;3.92;25;2921
888;830;4.26;5437;2923
889;12;4.01;76;2928
890;4131;3.67;209122;2932
891;142;3.67;1507;2933
892;63;3.67;585;2934
893;32;3.67;204;2937
894;18;3.67;311;2940
895;36;3.72;577;2942
896;0;3.85;5;2949
897;29;3.57;242;2952
898;3;4.06;33;2953
899;11391;3.82;1049912;2956
900;17;3.82;144;2958
901;37;3.82;687;2960
902;18;3.82;185;2962
903;53;4.2;970;2965
904;71;3.86;513;2967
905;142;4.28;5710;2968
906;209;4.05;2871;2971
907;10;4.39;207;2973
908;955;3.92;11892;2978
909;44;3.96;715;2988
910;123;3.68;1817;2997
911;11796;4.13;764134;2998
912;116;4.13;1739;3003
913;76;4.33;1653;3004
914;13;4.13;517;3006
915;4392;4.2;238192;3008
916;7;3.8;23;3011
917;23;4.3;150;3014
918;475;4.32;5899;3023
919;43;4.32;328;3025
920;301;4.38;2579;3040
921;122;4.14;1546;3041
922;47;4.39;766;3042
923;166;4.31;1797;3047
924;9;3.91;65;3051
925;0;4.45;22;3053
926;30;4.45;495;3055
927;10;4.36;213;3056
928;80;3.9;39369;3061
929;41;4.11;580;3065
930;409;3.96;8624;3066
931;51;4.22;712;3067
932;319;3.89;8073;3068
933;0;4.0;4;3070
934;50;3.65;662;3072
935;6;3.61;67;3075
936;0;3.88;0;3084
937;3422;3.91;128596;3087
938;113;4.1;2450;3088
939;0;3.51;6;3100
940;125;3.48;1665;3101
941;1437;3.96;54765;3102
942;1005;4.03;21997;3103
943;11;4.14;141;3104
944;26;3.96;368;3105
945;336;3.59;2699;3107
946;187;3.97;3259;3113
947;117;4.11;1864;3117
948;85;4.21;1928;3119
949;76;4.19;2050;3120
950;0;4.25;8;3130
951;35;4.33;254;3142
952;4;4.16;14;3144
953;1;4.16;8;3145
954;10;4.33;69;3147
955;0;4.08;21;3152
956;7;4.26;112;3155
957;6;4.09;139;3156
958;0;3.0;19;3167
959;11;4.17;114;3207
960;5;3.74;34;3231
961;0;4.57;14;3232
962;9;3.77;100;3248
963;126;3.89;4577;3254
964;12;4.29;327;3258
965;8192;4.17;91395;3273
966;49;4.11;592;3280
967;1;3.54;26;3283
968;23;3.97;430;3290
969;375;3.97;12839;3291
970;1;3.97;10;3293
971;46;3.77;1099;3298
972;1075;3.93;15345;3300
973;38;4.23;608;3301
974;33;3.72;514;3302
975;51;3.84;1189;3303
976;778;3.71;17962;3304
977;146;3.43;2359;3311
978;0;4.33;9;3316
979;1;4.02;13;3325
980;85;4.08;382;3340
981;96;4.0;768;3341
982;26;3.17;191;3343
983;104;3.91;970;3344
984;248;3.78;2046;3345
985;2;3.87;51;3346
986;329;3.85;3457;3347
987;25;3.91;127;3348
988;0;0.0;0;3351
989;12;4.47;142;3357
990;146;4.27;856;3359
991;641;4.25;7736;3368
992;612;3.62;15798;3384
993;1791;3.98;62954;3388
994;131;3.4;1084;3402
995;117;3.72;1170;3403
996;29;3.95;138;3404
997;16;4.19;99;3409
998;66;4.23;533;3413
999;120;4.37;5991;3416
1000;157;4.25;5423;3417
1001;175;3.52;1182;3418
1002;7;3.67;39;3419
1003;191;3.95;3478;3420
1004;119;4.29;4291;3421
1005;49;4.11;311;3422
1006;199;4.3;9623;3424
1007;17;3.81;153;3425
1008;2;3.69;24;3426
1009;16562;3.93;520051;3431
1010;1606;3.88;16588;3437
1011;754;3.88;6124;3438
1012;6;3.88;34;3439
1013;69;3.29;981;3444
1014;362;3.95;7763;3445
1015;637;3.91;10384;3446
1016;1211;3.78;14655;3447
1017;61;3.45;945;3449
1018;3141;4.11;154933;3462
1019;3229;4.03;125693;3463
1020;2425;3.8;68228;3464
1021;2658;4.03;36784;3465
1022;5295;3.99;126629;3466
1023;3;4.15;31;3468
1024;157;3.84;1596;3469
1025;218;3.96;2755;3471
1026;10173;4.17;555995;3473
1027;1192;3.7;37936;3476
1028;3496;3.96;201488;3478
1029;66;3.98;1967;3479
1030;4212;3.71;32370;3483
1031;9;4.03;82;3491
1032;99;3.52;790;3493
1033;1925;4.15;81381;3507
1034;73;3.86;2792;3509
1035;33;4.08;317;3510
1036;7;3.85;51;3513
1037;7;3.77;41;3516
1038;7;3.54;56;3519
1039;5;3.43;26;3520
1040;8;4.06;612;3525
1041;63;4.59;641;3529
1042;18;4.09;715;3530
