Pub_ID;Pub_name
287;Scholastic Paperbacks
288;Library of America
289;Collector's Library
290;Spark Publishing
291;Egmont Books Ltd
292;Touchstone
293;Arthur A. Levine
294;Bloomsbury Academic
295;Bloomsbury Publishing
296;Digireads.com
297;OUP Oxford
298;Plume Books
299;BBC Worldwide
300;Viking Books
301;MIT Press
302;Copernicus Books
303;Running Press Book Publishers
304;ReganBooks
305;Batsford
306;Grand Central Life & Style
307;Little  Brown and Company
308;MTV Books
309;G.P. Putnam's Sons
310;Jones Books
311;Simon  Schuster Audio
312;Penguin Books (Penguin Classics)
313;Simon & Schuster Paperbacks
314;Amadeus
315;McGraw-Hill Humanities
316;Social Sciences
317;Languages
318;Simple Productions
319;Free Press
320;HJ Kramer
321;Berkley Publishing Group
322;Da Capo Press
323;Fawcett
324;Grand Central Publishing
325;Rutgers University Press
326;Atheneum Books
327;Dell Yearling
328;Three Rivers Press
329;Phoenix Audio
330;Houghton Mifflin Company
331;Penguin Books Australia Ltd.
332;Peter Smith Publisher
333;Two Lions
334;Punto de Lectura
335;Naxos Audiobooks
336;Candlewick Press
337;Penguin Audio
338;Inner City Books
339;University of Illinois Press
340;University Press of Kansas
341;Jove Books
342;Vacation Work Publications
343;Hampton Roads Publishing Company
344;Orion Publishing
345;Crossroad
346;Vintage Classics
347;Alfaguara
348;Castle Books
349;Rupa & Co
350;Alfred A.Knopf
351;Schirmer Mosel
352;Teachers College Press
353;McGraw-Hill Education
354;Hachette Books
355;Westminster John Knox Press
356;Caedmon
357;Prima Lifestyles
358;North Atlantic Books
359;Barrons Educational Series
360;Washington Square Press
361;Houghton Mifflin
362;Simon  Schuster Books for Young Readers
363;Schocken
364;Yale University Press
365;A K PETERS
366;Bloomsbury Publishing PLC
367;Health Communications Inc
368;Owl Publishing Company
369;Thames  Hudson
370;Duke University Press Books
371;Berkley Trade
372;Crown Publishing Group (NY)
373;Cornerstone Press Chicago
374;Dell
375;Shaw Books
376;Simon & Schuster Children's Publishing
377;Shaw
378;Roxford Books
379;Tantor Media
380;HarperTeen
381;Clarion Books
382;Dutton Juvenile
383;Arcade Publishing
384;TSR
385;Doubleday
386;List
387;National Gallery London
388;集英社
389;Shueisha
390;Harlequin Romance
391;Diogenes
392;Not Avail
393;Glénat
394;Yearling
395;Aladdin
396;Ann Arbor Media
397;Council Press
398;The Modern Library
399;David C Cook
400;Children's Classics
401;David R. Godine Publisher
402;Festival
403;Basic Books (AZ)
404;Encounter Books
405;Walker Books Ltd
406;Alcoholics Anonymous World Services Inc
407;AA World Services
408;Overeaters Anonymous  Incorporated
409;Farrar Straus and Giroux
410;University Press of Mississippi
411;Insel  Frankfurt
412;Penguin Press HC  The
413;Scholastic Books
414;The Harvill Press
415;Simon and Schuster
416;Hodder
417;Livre de Poche
418;Loeb Classical Library 307
419;Hackett Publishing Company  Inc. (USA)
420;University Of Chicago Press
421;St. Martin's Griffin
422;Totem Books
423;Dial Press
424;HarperCollins Espanol
425;Rayo
426;Faber  Faber
427;Suhrkamp
428;Hodder Children's Books
429;G.P. Putnam's Sons Books for Young Readers
430;Random House Trade
431;Grove Press  Open City Books
432;New Riders Publishing
433;Cooper Square Press
434;Avon Books
435;Wings
436;William Morrow & Company (NYC)
437;Hyperion
438;Red Fox
439;Doubleday Canada
440;Broadway
441;Vision
442;Roca Editorial
443;St. Martin's Press
444;Pocket Star Books
445;Scribner Book Company
446;Yearling Books
447;Bethany House Publishers
448;Melville House Publishing
449;Harlequin Superromance
450;Merlin Publishing
451;International Publishers
452;Dell Laurel-Leaf
453;Bantam Starfire
454;Blackstone Audiobooks
455;Seal Books
456;Starfire
457;HighBridge Company
458;Atlantic Monthly Press
459;Grosset & Dunlap
460;Simon & Schuster Audio
461;Multnomah Books
462;Ember
463;Granta
464;Penguin Classics Deluxe Editions
465;Heinemann-Octopus
466;Enitharmon Press
467;Orion Children's Books
468;MacMillan UK
469;Pan
470;Macmillan
471;William Morrow & Company
472;Fourth Estate Paperbacks
473;IVP Academic
474;Love Spell
475;Dark Horse Books
476;Fawcett Books
477;Penguin Books in association with Faber & Faber
478;Gardners Books
